Score,Name,',Tank,Attachments,Game Mode,Build
2.896 mil,Ɦﻉɭɭƈคፕ,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Annihilator_2.9m.png (https://dl.airtable.com/GLU0PXWYSyCqZqvVjnVB_Annihilator_2.9m.png),FFA,
2.820 mil,S3CR3T,FalconOR.png (https://dl.airtable.com/9tnw6YFHRuqOL3YUgBd7_FalconOR.png),Falcon,Kepernyofelvetel_139.png (https://dl.airtable.com/TemM4RHRQM6zt7LJa7W7_Kepernyofelvetel_139.png),Open 3/4 TDM,
2.817 mil,Ɦﻉɭɭƈคፕ,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,Annihilator_2.82m.png (https://dl.airtable.com/Qbwauj81TVaPc5TWqjdh_Annihilator_2.82m.png),FFA,
2.774 mil,DukeOnkled,Auto_Tri_Angle-Blue.jpg (https://dl.airtable.com/mTIyXZYPSXeuNcgEARMR_Auto_Tri_Angle-Blue.jpg),Auto-Triangle,Screenshot_41.png (https://dl.airtable.com/fubYDY6BTvaZn7AHMnqi_Screenshot_41.png),4TDM,
2.773 mil,Oganesson 118,Hybrid-Blue.jpg (https://dl.airtable.com/SvDCCegFS4aURh68VAVN_Hybrid-Blue.jpg),Hybrid,unknown.png (https://dl.airtable.com/W2YRjLU5Sv6suQPTPtwC_unknown.png),FFA,
2.712 mil,AMagicalWizardPie,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,unknown.png (https://dl.airtable.com/HFkWvqeYSqg7mPrjsRBI_unknown.png),FFA,
2.702 mil,Denied,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,unknown.png (https://dl.airtable.com/1ighLVRxRDK5q8LoH7L2_unknown.png),Open 3/4 TDM,
2.699 mil,Zane,FighterOR.png (https://dl.airtable.com/HtCCi4oESf66EJtwvv0Q_FighterOR.png),Fighter,unknown.png (https://dl.airtable.com/yysZj2P0SKeYXV2oms7r_unknown.png),FFA,
2.691 mil,Hertz,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/WCT7seX4Q3m9lqLhcQ4A_unknown.png),FFA,
2.685 mil,Denied,TripletOR.png (https://dl.airtable.com/IvEUcLYFQA2UppXGMzmw_TripletOR.png),Triplet,unknown.png (https://dl.airtable.com/9C1pxOzhSRemHAyeL08w_unknown.png),Open 3/4 TDM,
2.680 mil,Denied,Sniper-Blue(1).png (https://dl.airtable.com/NRFEDb5NR5m4h5aUIuxb_Sniper-Blue(1).png),Sniper,unknown.png (https://dl.airtable.com/Mnsn6HksQUSAk0rz1uBX_unknown.png),Open 3/4 TDM,
2.654 mil,Zane,SurferOR.png (https://dl.airtable.com/ZAnaKaC1TfCvDzSqH4dY_SurferOR.png),Surfer,unknown.png (https://dl.airtable.com/FUzktrRHiv72DwB88qrA_unknown.png),FFA,
2.551 mil,Quadruplex,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Screenshot_99.png (https://dl.airtable.com/Ovbe433USZedc1zZOPYg_Screenshot_99.png),FFA,
2.550 mil,ZeZo,DestroyerOR.png (https://dl.airtable.com/TlGJThs8To6blxQdFgRd_DestroyerOR.png),Destroyer,Screenshot_554.png (https://dl.airtable.com/uLJGEySkaHvqwaP7RnNg_Screenshot_554.png),FFA,
2.535 mil,Cannonman,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Screen_Shot_2018-06-04_at_5.21.49_PM.png (https://dl.airtable.com/vjCcRgEtRyS8if50tNbM_Screen_Shot_2018-06-04_at_5.21.49_PM.png),FFA,
2.509 mil,$hortshop,PoacherOR.png (https://dl.airtable.com/cz9lIBvlQjGabkxVfpvl_PoacherOR.png),Poacher,unknown.png (https://dl.airtable.com/DKpRBUiuR66heiDlkAE2_unknown.png),4TDM,
2.491 mil,Candy,TriAngleOR.png (https://dl.airtable.com/kMe7PufTPWRsBIwSU5K5_TriAngleOR.png),Tri-Angle,unknown.png (https://dl.airtable.com/fWWPiwaqQL65WJdQBL5Y_unknown.png),FFA,
2.478 mil,CombineZ,DestroyerOR.png (https://dl.airtable.com/TlGJThs8To6blxQdFgRd_DestroyerOR.png),Destroyer,Screenshot_7.png (https://dl.airtable.com/3Uo8hMwrRYCWSamKVoMc_Screenshot_7.png),FFA,
2.471 mil,S3CR3T,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,Arras-Auto_double_25m.png (https://dl.airtable.com/PD2ZoJaPQRS3PzVyXl03_Arras-Auto_double_25m.png),Open 3/4 TDM,
2.470 mil,Tofu,MortarOR.png (https://dl.airtable.com/tVRjptjlTuOLRanU2f8Z_MortarOR.png),Mortar,diep2.io24m.png (https://dl.airtable.com/l2BDR5WfQ9aqT3tvKibt_diep2.io24m.png),4TDM,
